Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
PENGARUH PEMANGKASAN DAN PEMBERIAN PUPUK KOTORAN AYAM TERHADAP PERTUMBUHAN DAN PRODUKSI TANAMAN GAMBAS (Luffa acutangula L.),Penulis : Ratih Yuni Ratnawaty Afandi,"Dosen Pembimbing I : Ir. H. Suhartono, MP.","Dosen Pembimbing II :Dr. Achmad Amzeri, S.P., M.P.","Penelitian ini bertujuan untuk mengetahui pengaruh dan interaksi pemberian pupuk kotoran ayam dan pemangkasan terhadap pertumbuhan dan produksi tanaman gambas. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) Faktorial yaitu dosis pupuk kotoran ayam A0 (tanpa pemupukan), A1 (600 g/tanaman), P2 (1200g/tanaman), A3 (1800 g/tanaman) dan pemangkasan yaitu P0 (tanpa pemangkasan), P1 (pemangkasan 1 daun dan 1 cabang) P2 (pemangkasan 2 daun dan 2 cabang). Penelitian ini dilaksanakan di kebun hortikultura socah didesa keleyan, kecamatan socah, kabupaten bangkalan yang dilaksanakan pada bulan mei – juni 2016.
Hasil penelitian menunjukkan bahwa terjadi interaksi pada jumlah bunga umur 34 dan 37 HST. Pemberian pupuk kotoran ayam berpengaruh nyata pada parameter panjang tanaman, jumlah daun, umur berbunga, jumlah bunga dan panjang buah. Pemberian pupuk terbaik pada dosis 40 ton/ha. Pemangkasan memberikan pengaruh berbeda nyata terhadap parameter muncul bunga dan diameter buah, pemangkasan 2 daun dan 2 cabang memberikan hasil terbaik pada parameter muncul bunga dan diameter buah pada panen pertama, sedangkan panen kedua pada diameter buah pemangkasan terbaik tanpa pemangkasan."
PENGARUH PERENDAMAN AIR KELAPA DENGAN KONSENTRASI DAN LAMA PERENDAMAN YANG BERBEDA  TERHADAP PERTUNASAN TANAMAN JAHE MERAH (Zingiber officinale var. rubrum),Penulis : wahib,"Dosen Pembimbing I : Dr. Ir R.A. Sidqi Zaed Z.M., MS.","Dosen Pembimbing II :Drs. H. Kaswan Badami, M.Si.","Penelitian ini bertujuan untuk mengetahui pengaruh konsentrasi dan lama perendaman air kelapa yang berbeda terhadap pertunasan tanaman jahe merah. Penelitian ini dilaksanakan dalam rumah plastik di Desa Gili Timur, Kecamatan Kamal, Kabupaten Bangkalan, Jawa Timur. Waktu penelitian dilakukan pada tanggal 8 Mei sampai 19 Juni 2016. Metode penelitian ini menggunakan rancangan acak lengkap (RAL) faktorial yang terdiri atas 2 faktor dan 3 ulangan dengan 3 sampel pada setiap ulangan. Faktor pertama adalah konsentrasi air kelapa : A0 = Kontrol (Perendaman aquades), A1 = 25% air kelapa, A2 = 50% air kelapa, A3 = 75% air kelapa  dan faktor kedua adalah  lama perendaman air kelapa : B1 = 3 jam, B2 = 4 jam, B3 = 5 jam. Perlakuan pemberian air kelapa dengan lama perendaman yang berbeda tidak berpengaruh nyata terhadap semua parameter pertunasan tanaman jahe merah. Lama perendaman 5 jam menjukkan hasil nilai rata rata yang cenderung lebih baik terhadap parameter waktu muncul tunas, panjang tunas, jumlah daun berat basah rimpang dan berat kering rimpang. Lama perendaman 4 jam menjukkan hasil nilai rata rata rata yang cenderung lebih baik terhadap parameter luas daun, panjang akar, berat basah akar, berat basah tunas, berat kering akar dan berat kering tunas"
EKSPLORASI POTENSI TANAMAN SAYURAN DI KABUPATEN PAMEKASAN,Penulis : RIFQIE HAMZAH,"Dosen Pembimbing I : Dr. Agr. Eko Setiawan SP., M.Si.",Dosen Pembimbing II :,"Penelitian ini bertujuan untuk mengetahui potensi tanaman sayur yang terdapat di Kabupaten Pamekasan. Desain penelitian menggunakan purposive sampling yaitu data yang diperoleh berdasarkan wilayah yang ditentukan berdasarkan wilayah bagian dalam satu kabupaten dan ketinggian tempat. Bagian selatan diwakili Kecamatan Pademawu dan Kecamatan Tlanakan, dibagian tengah diwakili Kecamatan Pakong dan Kecamatan Kadur dan dibagian utara Kabupaten Pamekasan diwakili Kecamatan Pasean dan Kecamatan Waru. Pengambilan sampel dilakukan secara acak sebanyak 12 titik sampel setiap Kecamatan dengan teknik  eksplorasi, strategi eksplorasi diarahkan pada usaha pengambilan sampel di kebun maupun pekarangan dan di habitat alamnya. Nilai rata-rata komoditi yang ditemukan dan sudah dimanfaatkan seluruh Kecamatan sebesar 38,37 %, nilai tertinggi diperoleh dari Kecamatan Waru (50 %), Kecamatan Tlanakan (47,05 %) dan Kecamatan Pademawu (42,10 %), sedangkan komoditi yang ditemukan, dimanfaatkan tetapi belum maksimal sebesar 44,00 %, nilai tertinggi diperoleh dari Kecamatan Kadur (53,33 %), Kecamatan Pakong dan Kecamatan Pasean (50 %). Nilai rata-rata komoditi yang ditemukan dan belum dimanfaatkan seluruh Kecamatan sebesar 17,60 %, nilai tertinggi diperoleh dari Kecamatan Pakong (22,22 %) dan Kecamatan Pasean (20 %).
Kata Kunci: Potensi, Tanaman Sayur, Kabupaten Pamekasan.
"
"PEMANFAATAN PERIODE BERO SETELAH PERGILIRAN TANAMAN
KEDUA PADA LAHAN KERING DENGAN PEMULSAAN JERAMI
TERHADAP PERTUMBUHAN DAN HASIL TANAMAN KACANG 
HIJAU (Vigna radiata L.)
",Penulis : Raudatul Fitriyah,"Dosen Pembimbing I : Dr. Ir. Eko Murniyanto, M.P ","Dosen Pembimbing II :Diana Nurus Sholehah, S. Farm., Apt, M.Si","Kacang hijau (Vigna radiata L.) merupakan tanaman kacang-kacangan
yang berasal dari India, yang memiliki manfaat sebagai penghasil bahan makanan
dan mengandung banyak vitamin terutama vitamin B1 yang sangat diperlukan
untuk pertumbuhan gizi masyarakat yang relatif kurang vitamin. Tujuan dari 
penelitian ini untuk mengetahui pemanfaatan periode bero setelah pergiliran 
tanaman kedua dengan pemulsaan jerami terhadap pertumbuhan dan hasil
tanaman kacang hijau. Penelitian ini dilakukan dengan menggunakan rancangan
acak kelompok (RAK) non faktorial dengan 4 perlakuan, 6 ulangan dan 3 sampel.
Perlakuan yang dicoba adalah pemberian mulsa jerami yang terdiri dari 4 takaran
yaitu T1: 5 ton/ha, T2: 7,5 ton/ha, T3: 10 ton/ha dan T4: 12,5 ton/ha. Parameter
pengamatan meliputi tinggi tanaman, jumlah daun, waktu terbentuknya bunga,
jumlah polong per tanaman, jumlah polong cipo per tanaman, bobot biji per
tanaman. Metode yang digunakan yaitu analisis of varian (ANOVA) yang apabila
berpengaruh nyata dilanjutkan dengan uji BNJD dengan taraf 5% untuk
mengetahui pengaruh pemulsaan jerami terhadap pertumbuhan dan hasil kacang
hijau. Perlakuan pemberian mulsa jerami tidak berpengaruh nyata pada variabel
pertumbuhan tinggi tanaman, jumlah polong per tanaman, jumlah polong cipo per
tanaman. Namun memberikan nilai tertinggi pada variabel tinggi tanaman pada
perlakuan penggunaan mulsa jerami 10 ton/ha, jumlah polong per tanaman pada
perlakuan penggunaan mulsa jerami 10 ton/ha dan bobot biji per tanaman pada
perlakuan penggunaan mulsa 10 ton/ha. Perlakuan pemberian mulsa jerami padi
berpengaruh nyata terhadap variabel jumlah daun umur 2 dan 4 MST serta waktu
terbentuknya bunga. Perlakuan terbaik diperoleh dari penggunaan mulsa jerami
sebanyak 10 ton/ha. 
Kata kunci: Lahan Kering, Mulsa Jerami , Kacang Hijau
"
PENGARUH PUPUK GUANO TERHADAP PERTUMBUHAN DAN HASIL TANAMAN BAWANG MERAH (Allium ascalonicum L.) VARIETAS LOKAL MADURA,Penulis : MARGA SUKO GUNAWAN,"Dosen Pembimbing I : Dr. Ir. R. Achmad Sidqi Zaed Zaenullah, M.S.",Dosen Pembimbing II :,"Bawang merah merupakan komoditi hortikultura yang tergolong sayuran rempah. Sayuran rempah ini banyak dibutuhkan terutama sebagai pelengkap bumbu masakan, untuk menambah cita rasa dan kenikmatan makanan. Bawang merah tergolong komoditi yang mempunyai nilai jual tinggi di pasaran. Solusi untuk meningkatkan hasil produksi yang tinggi adalah memperbaiki teknik budidaya dan pemupukan yang dilakukan. Penggunaan pupuk organik dapat membantu memperbaiki sifat fisik, kimia, dan bilogi tanah. Guano adalah pupuk organik yang berasal dari dekomposit kotoran kelelawar. Penelitian ini menggunakan Rancangan Acak Lengkap (RAL) no-faktorial dengan 4 kali ulangan. Adapun perlakuan yang diberikan yakni pupuk guano dengan dosis 0 ton/ha sebagai kontrol (G0), 10 ton/ha (G1), 20 ton/ha (G2), 30 ton/ha (G3), dan 40 ton/ha (G4). Hasil penelitian menunjukkan bahwa perlakuan pupuk guano dengan berbagai macam dosis yang berbeda memberikan hasil yang sangat berbeda nyata terhadap semua parameter. Perlakuan dengan dosis 10 ton/ha (G1) memberikan hasil terbaik, dan mampu meningkatkan hasil produksi tanaman bawang merah yakni dengan nilai rata-rata pada parameter jumlah umbi per rumpun sebanyak (4,60 umbi), berat basah sebesar (17,09 g), berat kering jual umbi (15,23 g), berat basah brangkasan sebesar (15,07 g), berat kering umbi sebesar (2,38 g), dan berat kering brangkasan sebesar (1,19 g). Namun pada perlakuan dosis pupuk guano yang tinggi dengan dosis sebanyak 40 ton/ha (G4) memberikan hasil terkecil untuk semua parameter yang diamati.

Kata Kunci: Bawang Merah Pupuk Guano
"
Respon Pertumbuhan dan Hasil Tanaman Kenikir (Cosmos caudatus H.B.K) Terhadap Penambahan Cuka Kayu,Penulis : Irvan Aris Kurniawan,"Dosen Pembimbing I : Drs. H. Kaswan Badami, M.Si","Dosen Pembimbing II :Dr. Agr. Eko Setiawan, SP., M.Si","Tanaman kenikir (Cosmos caudatus H.B.K) adalah jenis sayuran yang mempunyai bau khas yang disebabkan sejenis minyak yang terkandung dalam daun kenikir. Kenikir sebagai sayuran indigenous dimanfaatkan oleh masyarakat Indonesia sebagai tanaman perkarangan dan budidaya kenikir hanya terbatas pada skala rumah tangga serta sayuran ini sudah lama dikonsumsi oleh masyarakat Indonesia. Namun, budidaya kenikir yang dikenal masyarakat tanpa adanya pemupukan atau perlakuan khusus lainnya. Upaya untuk menghasilkan produksi kenikir yang tinggi dengan penambahan perlakuan yang intensif pun perlu dilakukan melalui pemberian cuka kayu. Penelitian ini bertujuan untuk mengetahui pengaruh cuka kayu pada pertumbuhan dan hasil tanaman kenikir. Penelitian ini dilakukan di kebun Universitas Trunojoyo Madura. Percobaan ini menggunakan Rancangan Acak Lengkap (RAL) dengan 2 faktor dan 3 ulangan. Faktor I : konsentrasi cuka kayu (kontrol, 2%, 2,5%, 3% dan 3,5%). Faktor 2 : interval penyiraman cuka kayu (2 hari sekali, 4 hari sekali dan 6 hari sekali) dengan 15 kombinasi perlakuan. Data yang diperoleh dianalisis dengan menggunakan sidik ragam dan dilanjutkan dengan BJND 5%. Hasil penelitian ini menunjukkan bahwa penambahan cuka kayu berpengaruh pada parameter pengamatan tinggi tanaman, berat basah cabang muda dan berat kering cabang muda tanaman kenikir. Konsentrasi cuka kayu yang cenderung menghasilkan nilai terbaik adalah 3,5%. Kemudian interval penyiraman cuka kayu berpengaruh terhadap parameter pengamatan tinggi tanaman, jumlah daun, berat basah cabang muda dan berat kering cabang muda tanaman kenikir. Interval penyiraman cuka kayu yang cenderung menghasilkan nilai terbaik adalah 4 hari sekali. Penelitian ini tidak terjadi interaksi antara konsentrasi dan interval penyiraman cuka kayu.

Kata kunci : Tanaman Kenikir, Cuka Kayu, Konsentrasi dan Interval
"
"PENGARUH PEMBERIAN HORMON NAA TERHADAP PERTUMBUHAN DAN HASIL BAWANG MERAH (Allium ascalonicum L) DI DESA BATORASANG KECAMATAN TAMBELANGAN KABUPATEN SAMPANG
",Penulis : RAHMAD FIRDAUS,"Dosen Pembimbing I : Dr. Ir. R. Achmad Sidqi Zaed Zaenullah, M.S.",Dosen Pembimbing II :,"Budidaya bawang merah yang dilakukan petani di Indonesia umumnya belum menerapkan sepenuhnya kaidah budidaya yang benar sehingga produktivitas bawang merah di Indonesia masih rendah. Diperlukan beberapa cara atau strategi untuk meningkatkan hasil bawang merah, salah satunya dengan pemberian zat pengatur tumbuh (ZPT). Penelitian ini bertujuan mengetahui pengaruh ZPT NAA terhadap pertumbuhan dan hasil bawang merah. Penelitian ini menggunakan rancangan acak kelompok(RAK) non faktorial. Penelitian ini menggunakan perlakuan konsentrasi hormon NAA yang terdiri dari 4 taraf yakni kontrol (K0), konsentrasi 0,50 cc/l (K1), konsentrasi 0,75 cc/l (K2), konsentrasi 1,00 cc/l (K3), dan diulang 4 kali. Perlakuan konsentrasi pemberian hormon NAA menunjukkan pengaruh nyata terhadap pertumbuhan dan hasil dimana perlakuan kontrol (K0) menunjukkan rata-rata hasil terbaik pada parameter hasil seperti berat basah dan kering umbi, sementara perlakuan konsentrasi hormon 0,50 cc/l (K1) menunjukkan rata-rata hasil tertinggi pada parameter pertumbuhan sperti tinggi tanaman dan jumlah daun.

Kata kunci : Bawang Merah, ZPT, Hormon "
"EFEKTIVITAS EKSTRAK MIMBA SEBAGAI PESTISIDA ALAMI TERHADAP HAMA, dan DAMPAK pada PERTUMBUHAN TANAMAN KEDELAI (Glycine max (L) Merrill.)",Penulis : JANUAR REDITIYA,"Dosen Pembimbing I : Dr. Ir. Eko Murniyanto, MP ","Dosen Pembimbing II :Dr. Ir. Gita Pawana, M.Si ","EFEKTIVITAS EKSTRAK MIMBA SEBAGAI PESTISIDA ALAMI TERHADAP HAMA, dan DAMPAK pada PERTUMBUHAN TANAMAN KEDELAI (Glycine max (L) Merrill.)

The effectiveness of neem extract as a natural pesticide against pests and impact on the growth of soybean (Glycine max (L.) Merrill)

Januar Reditiya1, Eko Murniyanto2, Gita Pawana2
1Mahasiswa, 2Staf Pengajar Jurusan Agroekoteknologi, Univ.Trunojoyo Madura
Kontak person: conkredy29@gmail.com

ABSTRAK
Peningkatkan produktivitas kedelai dapat dilakukan dengan perbaikan teknik budidaya melalui sistem pemeliharaan dan penggunaan varietas unggul. Kajian aplikasi ekstrak mimba terhadap hama, dan dampak pada pertumbuhan tanaman kedelai masih terbatas, sehingga perlu dilakukan penelitian untuk mengetahui pengaruh pemberian ekstrak mimba sebagai pestisida alami terhadap hama, dan dampak pada pertumbuhan tanaman kedelai (Glycine max (L.) Merrill) varietas Grobogan. Penelitian ini dilaksanakan di BPP Torjun Sampang Madura pada bulan Maret-agustus, dengan menggunakan Rancangan Acak Kelompok (RAK) non faktorial dengan 3 kali ulangan yang terdiri atas pemberian ekstrak mimba   50 ml, 100 ml, 150 ml pada tiap petak dengan ukuran petak 3 m2. Hasil penelitian menunjukkan bahwa pemberian ekstrak mimba pada dosis dosis 100 ml/1000 ml air efektif menekan serangan hama hingga persentase serangan hama rendah. Perlakuan P5 yaitu pemberian ekstrak daun mimba 100 ml/ 1000 ml air efektif menekan serangan hama sebesar 8,29 %, sehingga dapat meningkatkan pertumbuhan tinggi tanaman sampai 70,00 cm pada umur 8 MST dan meningkatkan bobot biomassa total sampai 19,17 gram pada varietas Grobogan. Peemberian ekstrak mimba pada tanaman tidak mempengaruhi berat 100 biji per tanaman, berat biji per tanaman, jumlah polong isi, polong kosong per tanaman baik pada varietas Grobogan. 
Kata kunci : Kedelai, ekstrak mimba, varietas, dampak, hama, pertumbuhan.
"
PENGARUH KOMBINASI ABU SEKAM DENGAN PUPUK ZA TERHADAP PERTUMBUHAN DAN HASIL TANAMAN TOMAT LOKAL (Lycopersicum esculentum Mill.),Penulis : DENY ADI NUGROHO,"Dosen Pembimbing I : Dr. Ir. Eko Murniyanto,MP ","Dosen Pembimbing II :Ir. Sinar Suryawati, M.Si ","Penelitian ini bertujuan untuk mengetahui respon pertumbuhan dan hasil tanaman tomat akibat kombinasi Abu Sekam dengan Pupuk ZA. Penelitian ini dilaksanakan di kebun percobaan Balai Penyuluhan Pertanian Kecamatan Torjun, Kabupaten Sampang, Madura, yang dimulai pada bulan Juli sampai September 2016. Rancangan yang digunakan yaitu Rancangan Acak Kelompok (RAK) non Faktorial dengan 9 perlakuan diulang sebanyak 3 kali. Perlakuan terdiri dari A0Z0 tanpa pemberian Abu Sekam dengan Pupuk ZA, A1Z0  pemberian Abu Sekam dosis 50g/tanaman tanpa Pupuk ZA, A2Z0 pemberian Abu Sekam dosis 60g/tanaman tanpa Pupuk ZA, A0Z1 tanpa pemberian Abu Sekam dan diberi Pupuk ZA  dosis 15g/tanaman, A0Z2 tanpa pemberian Abu Sekam dan diberi Pupuk ZA  dosis 20g/tanaman, A1Z1 pemberian Abu Sekam dosis 50g/tanaman dan diberi Pupuk ZA dosis 15g/tanaman, A1Z2 pemberian Abu Sekam dosis 50g/tanaman dan Pupuk ZA dosis 20g/tanaman, A2Z1 pemberian Abu Sekam dosis 60g/tanaman dan diberi Pupuk ZA dosis 15g/tanaman, A2Z2 pemberian Abu Sekam dosis 60g/tanaman dan Pupuk ZA 20g/tanaman. 
Hasil penelitian menunjukkan bahwa terdapat perbedaan pertumbuhan dan hasil tanaman tomat (Lycopersicum esculentum Mill.) akibat kombinasi Abu Sekam dengan Pupuk ZA. Pengaruh kombinasi Abu Sekam dengan Pupuk Za menunjukkan pengaruh yang sangat nyata pada variabel tinggi tanaman kecuali pada umur 7 HST, waktu berbunga, diameter buah, jumlah buah setiap tanaman, bobot buah pertanaman (kg) dan produksi buah (ton/ha). Hasil produksi terbaik tanaman tomat pada variabel pengamatan bobot buah setiap tanaman (kg) dan produksi buah (ton/ha) terdapat pada perlakuan A2Z2 dengan dosis Abu Sekam 60g/tanaman dan Pupuk ZA dengan dosis 20g/tanaman.
Kata kunci : Abu Sekam, Pupuk ZA, Tomat (Lycopersicum esculentum Mill.)   
"
RESPON PERTUMBUHAN DUA VARIETAS TANAMAN TOMAT (Solanum licopersicum Mill.) TERHADAP CEKAMAN KEKERINGAN,Penulis : INDAH PERMATA SARI,"Dosen Pembimbing I : Dr. Ir. H Ahmad Arsyad Munir, M.Si","Dosen Pembimbing II :Ir. H. Suhartono, MP.","Tomat merupakan tanaman hortikultura yang sangat dibutuhkan oleh masyarakat sehingga permintaan akan tomat juga meningkat, oleh karena itu pembudidayaan tanaman tomat harus dilakukan dengan tepat dan benar, akan tetapi tantangan dalam pembudidayaan tomat adalah kondisi lingkungan yang harus memadai karena tomat adalah tanaman yang sangat membutuhkan banyak air. Tanaman tomat memiliki potensi yang baik di Indonesia. Namun masih belum diketahui seberapa besar kemampuan beberapa varietas tanaman tomat ini dapat tumbuh pada kondisi cekaman kekeringan. Cekaman kekeringan merupakan suatu kondisi dimana air dalam tanah tidak mencukupi untuk mendukung pertumbuhan tanaman secara optimal. Penelitian ini bertujuan untuk mengetahui respon pertumbuhan dua varietas tanaman tomat terhadap cekaman kekeringan. Design penelitian ini menggunakan Rancangan Acak Lengkap (RAL) menggunakan dua faktor perlakuan yaitu : Faktor 1 : penyiraman (P) dengan 2 taraf, yaitu 100% Kapasitas Lapang (KL) (kontrol = P0) 25% KL (P1) Faktor 2 : penggunaan beberapa varietas tanaman tomat (G) dengan 2 taraf, yaitu : V1 = varietas maudy dan V2 = varietas justyne yang terdiri dari 4 kombinasi perlakuan dengan 6 ulangan. Hasil penelitian ini menunjukkan pengaruh berbeda nyata pada perlakuan penyiraman untuk variabel pengamatan tinggi tanaman, jumlah daun, berat basah akar, dan berat kering akar.sedangkan pada perlakuan varietas menunjukkan pengaruh berbeda nyata untuk variabel pengamatan tinggi tanaman, jumlah daun, panajng daun, berat basah akar, dan berat kering akar."
Eksplorasi Potensi Tanaman Sayuran Pada Enam Kecamatan Di Kabupaten Bangkalan Bulan Oktober-November 2016,Penulis : Ah. Arif Fahruddin,"Dosen Pembimbing I : Dr. Agr. Eko Setiawan, SP., M.Si","Dosen Pembimbing II :Dr. Ir. Gita Pawana, M.Si.","Penelitian ini bertujuan untuk mengetahui potensi tanaman sayur yang terdapat di Kabupaten Bangkalan. Desain penelitian menggunakan purposive sampling yaitu yaitu Penetuan lokasi penelitian berdasarkan potensi dan ketinggian tempat, meliputi Kecamatan Kamal (5 mdpl), Kecamatan Labang (45 mdpl), Kecamatan Tanah Merah (47 mdpl), Kecamatan Geger (100 mdpl), Kecamatan Klampis (2 mdpl) dan Kecamatan Socah (5 mdpl). Metode yang digunakan dalam pengumpulan data adalah wawancara, observasi, dokumentasi, dan Identifikasi. Nilai rata-rata komoditi yang ditemukan dan sudah dimanfaatkan seluruh Kecamatan sebesar 50%, nilai tertinggi diperoleh dari Kecamatan Geger (56%), sedangkan komoditi yang ditemukan dan sudah dimanfaatkan tetapi belum maksimal sebesar 37%, nilai tertinggi diperoleh dari Kecamatan Tanah Merah (56%), Nilai rata-rata komoditi yang ditemukan dan belum dimanfaatkan seluruh Kecamatan sebesar 13%, nilai tertinggi diperoleh dari Kecamatan Socah (24%)."
Respon Tanaman Kacang Tanah (Arachis hypogaea L.) Akibat Air Kelapa (Cocos Nucifera),Penulis : NUR HIKAM MAULANA ,"Dosen Pembimbing I : Dr. Ir. Gita Pawana, M.Si. ","Dosen Pembimbing II :Diana Nurus S, S.Farm., Apt.M.si","Penelitian ini bertujuan untuk mengetahui volume air kelapa yang dapat meningkatkan pertumbuhan dan produksi tanaman kacang tanah. Penelitian ini dilaksanakan lahan pertanian Desa Babbalan, Kecamatan Batuan, Kab. Sumenep – Jawa Timur. Waktu penelitian dilakukan pada tanggal 16 Mei sampai 23 Agustus 2016. Metode penelitian ini menggunakan rancangan acak kelompok (RAK) masing-masing perlakuan diulang sebanyak 3 kali dalam seminggu. Perlakuan pemberian air kelapa sebagai berikut : K0 (kontrol) dengan air mineral 1000ml, K1 Air kelapa 250ml + Air mineral 750ml, K2 Air Kelapa 500ml + Air Mineral 500ml, K3 Air Kelapa 750ml + Air Mineral 250ml dan K4 Air Kelapa 1000ml. Perlakuan pemberian air kelapa dengan volume penyiraman yang berbeda memberikan pengaruh terhadap pertumbuhan dan produksi pada tanaman kacang tanah. Perlakukan pemberian air kelapa yang memberikan pengaruh adalah K3 (Konsentrasi Air Kelapa 750ml + Air Mineral 250ml) dan K4 (Konsentrasi Air Kelapa 1000ml). Perlakukan terbaik dari segi pertumbuhan tanaman kacang tanah adalah perlakuan K3 yang mempengaruhi terhadap parameter jumlah daun, jumlah cabang, tinggi tanaman dan jumlah polong, sedangkan perlakukan terbaik dari segi produksi tanaman kacang tanah adalah perlakuan K4 yang mempengaruhi terhadap parameter akar sekunder, percabangan akar, bobot biomassa tanaman dan berat biji polong. Pada dasarnya kacang tanah ini dilihat dari sisi produksi hasil budidaya jadi perlakukan terbaik adalah perlakukan K4.

Kata kunci : kacang tanah, konsentrasi, interval penyiraman, air kelapa
"
"Produktivitas Tanaman Pada Lahan Tegal dan Pekarangan
di Kecamatan Manding Kabupaten Sumenep. ","Penulis : Qurratul Aini, ","Dosen Pembimbing I : Dr. Ir. H. Ahmad Arsyad Munir, MS. ","Dosen Pembimbing II :Dr. Agr. Eko   Setiawan, SP,MP. ","Penelitian ini  bertujuan untuk mengetahui produktivitas tanaman pada
lahan tegal dan pekarangan di Kecamatan Manding Kabupaten Sumenep. 
Penelitian ini dilaksanakan di Kecamatan Manding Kabupaten Sumenep yang
dilakukan mulai bulan September 2015 sampai dengan bulan Februari 2016.
Penelitian ini dilakukan dengan menggunakan metode deskriptif berdasarkan
pendataan menggunakan variabel data sekunder. Penentuan lokasi dilakukan
dengan mengambil 3 desa sampel di Kecamatan Manding dengan menggunakan
metode sampling stratifikasi (stratified sampling), dimana populasi dikelompokan 
dalam 3 strata berdasarkan luasan lahan pertanian terluas, sedang dan sempit.
Kemudian masing-masing strata ditetapkan 1 desa sampel secara random. Lokasi
penelitian ditetapkan pada Desa Gadding, Desa Jaba’an dan Desa Lalangon.
Selanjutnya untuk pengambilan sampel responden dilakukan dengan
menggunakan metode purposive sampling (pengambilan data secara sengaja
dengan kriteria petani yang memiliki atau menggarap lahan tegal dan 
pekarangan).
Berdasarkan hasil yang diperoleh diketahui bahwa produktivitas tanaman  
tertinggi di lahan tegal pada tanaman tembakau terdapat pada Gadding dan
produktivitas terendah di lahan tegal pada tanaman tembakau juga pada Desa
Lalangon. Produktivitas tanaman pada lahan pekarangan tertinggi terdapat pada
obat terdapat pada Desa Lalangon dan produktivitas terendah terdapat pada
tanaman sayur di Desa Jaba’an. Selain itu, diketahui pula bahwa produktivitas 
lahan tegal lebih tinggi dibandingkan produktivitas lahan pekarangan.
Kata Kunci: Produktivitas, Lahan Tegal, Lahan Pekarangan. "
PERTUMBUHAN DAN PRODUKSI TIGA VARIETAS TOMAT (Lycopersicum esculentum Mill) PADA DUA JENIS TANAH DI MADURA,Penulis : Ellyta Fatwa,"Dosen Pembimbing I : Dr. Ir. H. Ahmad Arsyad Munir, M.S.",Dosen Pembimbing II :,"Penelitian ini dilakukan Untuk mengetahui pengaruh dari dua jenis tanah di Madura terhadap pertumbuhan dan hasil produksi dari tiga varietas tanaman tomat. Serta untuk mengetahui interaksi antara perlakuan tiga varietas dengan dua jenis tanah di Madura. Penelitian dilaksanakan di lahan percobaan Fakultas Pertanian Universitas Trunojoyo Madura yang terletak pada ketinggian ± 5 m diatas permukaan laut, pada  bulan juni sampai bulan september 2016. Rancangan penelitian yang digunakan adalah Rancangan Acak Lengkap Faktorial yang terdiri atas 2 faktor. Faktor pertama yaitu jenis varietas tomat yang terdiri dari 3 taraf yaitu varietas Fiona (V1), varietas Permata F1 (V2), dan varietas Rampai (V3).Sedangkan faktor kedua yaitu jenis tanah yang terdiri dari 2 taraf yaitu tanah Grumosol (T1) dan tanah Mediteran (T2) dengan 3 kali ulangan. Perlakuan yang dicoba yaitu penanam Varietas Fiona + Tanah Grumosol (V1T1), Varietas Fiona + Tanah Mediteran (V1T2), Varietas Permata F1 + Tanah Grumosol (V2T1),  Varietas Permata F1 + Tanah Mediteran (V2T2), Varietas Rampai + Tanah Grumosol (V3T1), dan Varietas Rampai + Tanah Mediteran (V3T2). Variabel yang diamati meliputi: Tinggi tanaman (cm), Jumlah daun (helai), Umur bunga (hari), Jumlah buah (biji), Diameter buah (cm), Bobot per buah (g), Bobot buah per tanaman (g), Berat basah berangkasan (g), dan Berat kering berangkasan (g). Hasil penelitian menunjukkan bahwa perlakuan jenis tanah dan varietas tomat tidak menunjukkan adanya interaksi. Dan perlakuan varietas tomat menunjukkan pengaruh yang nyata pada beberapa variabel pengamatan, yaitu variabel tinggi tanaman (cm) umur 4 MST, dan variabel jumlah daun (helai) umur 2, 3, 4 MST, sedangkan untuk perlakuan jenis tanah pengaruh nyata ditujukan pada variabel pengamatan jumlah buah (biji), berat per buah (g), berat buah per tanaman (g), dan berat basah berangkasan (g).


Kata kunci: Lycopersicum esculentum Mill., Varietas Fiona, Permata F1, dan Rampai, Tanah Grumosol, dan Tanah Mediteran. 
"
RESPON  TANAMAN SELASIH (Ocimum basilicum L.) PADA BERBAGAI MEDIA TANAM,Penulis : Taufiqurrahman,"Dosen Pembimbing I : Ir. H. SUHARTONO, MP.",Dosen Pembimbing II :,"Penelitian dilakukan untuk mengetahuirespon tanaman selasih (Ocimum basilicum L.)terhadap berbagai media tanam. Penelitian dilaksanakan di kebun percobaan Program Studi Agroteknologi Fakultas Pertanian Universitas Trunojoyo Madura yang terletak di Desa Telang Kecamatan Kamal Kabupaten Bangkalan Madura dengan ketinggian tempat ± 5 mdpl, pada bulan September  - Desember 2016. Rancangan lingkungan menggunakan rancangan acak lengkap (RAL) dengan 4 perlakuan dan 6 kali ulangan, perlakuan campuran media tanam yang di coba adalah tanah (P0), tanah dan kompos (P1), tanah dan sekam (P2), tanah, kompos dan sekam (P3). Hasil penelitian menunjukkan bahwa perlakuan P0 dan P1 memberikan nilai rata-rata tertinggi pada parameter tinggi tanaman, jumlah daun, jumlah cabang, berat basah dan berat kering tanaman sedangkan perlakuan P2 memberikan rata-rata tertinggi pada paramater berat 100 biji.
Kata Kunci : Media Tanam, Ocimum basilicum L
"
